,DESCR,RAMEAU_concepts2
0,"Initiation à la linguistique : avec des travaux pratiques d'application et leurs corrigés, &quot;Cet ouvrage expose les bases communes à toutes les études sur le langage et les langues, quelles que soient les divergences d&apos;écoles et de terminologie. Composé et rédigé de manière accessible aux débutants, avec des exercices et leurs corrigés, il constitue également un instrument de travail approprié à la formation initiale et continue des enseignants de français et de langues vivantes.&quot; ____","['027236005#Linguistique', '027789853#Étude_et_enseignement']"
1,"La culture pour vivre, Mort de la culture populaire en France. Mutation des institutions culturelles grâce à une technique de mise en relation des oeuvres et d&apos;un public, et qui tend à créer un comportement culturel adapté aux caractéristiques de l&apos;époque ____","['027416593#Politique_culturelle', '027224929#Diffusion_de_la_culture', '027348237#Culture_populaire']"
2,"La Longue traque, Le 23 juillet 1945, on repêche dans la Seine le cadavre de Roland Farjon, 35 ans, fils d&apos;une puissante famille de Boulogne-sur-Mer. Accusé d&apos;avoir trahi la résistance, il semble s&apos;être suicidé. Mais l&apos;affaire n&apos;est pas si simple. Etait-il vraiment un traître ? S&apos;est-il vraiment suicidé ? Est-ce réellement son corps que l&apos;on a retrouvé ? ____",['027350282#Purges_politiques']
3,"Stigmate : les usages sociaux des handicaps, Il y a le stigmate d&apos;infamie, tel la fleur de lys gravée au fer rouge sur l&apos;épaule des galériens. Il y a les stigmates sacrés qui frappent les mystiques. Il y a les stigmates que laissent la maladie ou l&apos;accident. Il y a les stigmates de l&apos;alcoolisme et ceux qu&apos;inflige l&apos;emploi des drogues. Il y a la peau du Noir, l&apos;étoile du Juif, les façons de l&apos;homosexuel. Il y a enfin le dossier de police du militant et, plus généralement, ce que l&apos;on sait de quelqu&apos;un qui a fait ou été quelque chose, et &quot;ces gens-là, vous savez...&quot; Le point commun de tout cela ? Marquer une différence et assigner une place : une différence entre ceux qui se disent &quot;normaux&quot; et les hommes qui ne le sont pas tout à fait (ou, plus exactement les anormaux qui ne sont pas tout à fait des hommes) ; une place dans un jeu qui, mené selon les règles, permet aux uns de se sentir à bon compte supérieurs devant le Noir, virils devant l&apos;homosexuel, etc., et donne aux autres l&apos;assurance, fragile, qu&apos;à tout le moins on ne les lynchera pas, et aussi l&apos;espoir tranquillisant que, peut-être, un jour, ils passeront de l&apos;autre côté de la barrière. ____","['029251133#Identité_collective', '027336360#Déviance', '031017037#Stigmatisation_(psychologie_sociale)']"
4,"L'agitation paysanne en Russie de 1881 à 1902 : étude comparative entre le Tchernozem central et la nouvelle Russie, La 4e de couverture indique : &quot;De 1880 à 1902, dans le Cernozem central et en Nouvelle Russie, l&apos;agitation paysanne a surpris par ses formes, son dynamisme et ses conséquences. Pourtant, elle a été décisive. La prise de conscience des problèmes, lente et inégale selon les individus et les régions, a incité les paysans à contester les décisions de l&apos;administration et l&apos;efficacité de l&apos;Etat. Le régime, qui a donné aux paysans l&apos;impression de favoriser les intérêts des grands propriétaires, n&apos;a pas suffisamment mesuré la gravité de ces troubles agraires qui, tout autant que le mouvement ouvrier, menacent ses assises. Un peu comme le soulèvement des Bagaudes qui a précédé la ruine de l&apos;Empire romain, ou comme la grande jacquerie qui a mis un terme à la féodalité, l&apos;agitation paysanne est un signal d&apos;alarme qui annonce la fin de la monarchie triséculaire des Romanov et constitue les prodromes de la Révolution.&quot; ____",['027246086#Révoltes_paysannes']
5,"Morphogenèse et pédogenèse quaternaires dans le piémont des Pyrénées garonnaises et ariégeoises, Cette étude caractérise les sols et les types d&apos;altération sur et dans les matériaux des nappes détritiques quaternaires: établit les principales corrélations entre les formations éloignées, et leur assigne une place dans la stratigraphie quaternaire; aborde les problèmes paléoclimatiques liés à la genèse des altérations; propose un schéma de l&apos;évolution morphoclimatique au cours du quaternaire. L&apos;ensemble des temps quaternaires apparait comme une longue période biostatique tempérée, marquée par l&apos;assoupissement de la morphogenèse, le développement des altérations et le creusement des cours d&apos;eau. Cette période est entrecoupée de 5 brèves et violentes phases rhexistasiques, favorables à un rapide bouleversement des paysages et du modèle. Les trois plus anciennes a tendance semi-aride, modérément froides; les deux dernières, plus récentes et rapprochées l&apos;une de l&apos;autre, froides et humides. ____","['027228029#Géomorphologie', '031216900#Études_pédologiques']"
6,"La nuit, le jour : essai psychanalytique sur le fonctionnement mental, Discontinuité, latence, rétablissement d’une continuité organisent la vie psychique. Réparatrice est dite la nuit... Les auteurs ont voulu montrer la complexité sous-jacente à cette qualité dès lors que Freud met au jour dans l’étude du rêve, au-delà d’une certaine réalisation de désir inconscient lié à l’histoire individuelle d’un sujet donné, l’existence de « veinures » qui résultent de la préhistoire de tous les humains et qui, imprimant la matière où s’inscrit le rêve, obligent celui-ci à organiser l’hallucination du désir en fonction de leur immuabilité. Les pensées latentes où s’origine de jour la vie onirique surgissent sur fond de manque à percevoir où se réédite quotidiennement le message verbal de castration. C’est pourquoi les pensées latentes et l’hallucination du désir auraient plus tendance à se conserver qu’à se décharger. La poussée vers la décharge apte à rendre la nuit aussi réparatrice que possible ne pourrait aboutir si la mère du tout premier âge, mère sexuelle et incestueuse, invisible car recouverte de son habit de censure, ne resurgissait rythmiquement ; certes elle pérennise l’inceste, mais aussi, le temps d’un sommeil, elle replonge l’individu dans la nuit des temps. ____","['027242013#Rêves', '027823393#Complexe_de_castration', '027241505#Psychanalyse']"
7,"Essais de littérature (vraiment) générale, «Nos gens à la mode ne jurent que par une Théorie littéraire en son temps tolérable peut-être, mais dont le savoir retarde au moins d&apos;un quart de siècle et des trois quarts de la planète. Après quarante ans passés à ne pas lire les sottises en vogue, pour fréquenter les Japonais, les Chinois, les Arabes, les Tibétains, les Turcs, les Malais ou les Égyptiens de Pharaon, il m&apos;a semblé que j&apos;avais le devoir de risquer quelques excursions rapides dans la littérature universelle, ne serait-ce que pour orienter quelques jeunes courages vers ce qui pourrait devenir, dans vingt ans, ou quarante, la théorie littéraire digne de ce nom : celle par exemple qui, parce qu&apos;elle tiendrait compte de la seule littérature japonaise, saurait que les théories de Lukacs et de Goldman sur le roman sont depuis mille ans périmées.» Étiemble ____",['027236838#Littérature_comparée']
8,"Ruptures, cultures, Il faut imaginer Robinson sur son île, au moment où il va être menacé de découvrir les lettres et les arts : quelle ressource, observait déjà Rousseau, que cette figure, que cette “ folie ” pour une culture qui ne l&apos;aura inventée que pour nous persuader plus sûrement de sa nécessité ? Mais tout un qui écrit, qui peint, qui fait œuvre, n&apos;est-il pas une manière de Robinson, un être séparé ou – comme disait Bataille – un “ nécessiteux ” ? Et que dire de celui qui prétend s&apos;exclure du jeu, refuser l&apos;héritage, rompre les amarres ? Et que dire, à l&apos;inverse, de celui qui, soustrait par force à la société de ses semblables, s&apos;emploie à battre la culture sur son propre terrain, à la débusquer de ses retraites les plus secrètes, à la vaincre par excès ? De Dubuffet à Sade, en passant par quelques-unes des figures, mythiques, économiques, politiques, créatrices, de l&apos;appropriation, de l&apos;inquisition, du refus, c&apos;est la culture elle-même qui se trouve renvoyée à son propre fond et sommée d&apos;avouer – quand s&apos;inversent les signes du luxe et de la nécessité – la puissance de rupture qui l&apos;habite et qui fait son ressort. ____",['027231429#Culture']
9,"La révolution structurale, Mutations ou crises, les brusques accès de fièvre idéologique de notre temps masquent et en même temps expriment de profonds et silencieux déplacements dans le savoir, comparables aux révolutions qui au XVIIIe et à la fin du XIXe siècle ont fait éclater les sciences exactes. Ce livre entend donner un bilan détaillé des enjeux de la révolution structuraliste par laquelle les sciences humaines changent de code, abandonnant un humanisme obsessionnel et vide au profit de nouveaux objets ; signes, métaphores, structures. Il offre une pédagogie du structuralisme, une carte qui aide à se reconnaître dans les recherches et la philosophie contemporaines. Contre les calomnies et les désaveux dont le structuralisme est trop souvent l&apos;objet : positivisme, dessèchement de la pensée, complicité avec les technocraties, il annonce l&apos;avènement d&apos;une poétique nouvelle, d&apos;une joie du symbolique et du rhétorique renouant avec le baroque et la musique de Bach et de Leibniz. Refusant les dogmatismes théistes ou les mysticismes du Corps, la poétique structurale est une libération idéologique militant contre les totalitarismes, les goulags philosophiques et politiques ; à l&apos;écoute d&apos;Héraclite, de Kant et de Hölderlin, poétique de la différence, elle inaugure un espace de pensée et un désir de savoir plus riches et plus rebelles que ce que l&apos;on nommait la dialectique : mythes lus par l&apos;anthropologie de Lévi-Strauss, inconscient freudien et lacanien, voici que l&apos;hétérogène, une pensée de l&apos;Autre nous fait face et vient défier par sa dépense et le jeu de sa négativité la triste positivité de notre réserve. ____",['027249581#Structuralisme']
